rank,CHP_ID,Chinese_herbal_pieces,max_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP06136,猪苓,1.0,9.0,9.0,8.0,8.0
2,CHP00003,阿魏,1.0,133.0,133.0,75.0,71.0
3,CHP05992,人中白,1.0,83.0,83.0,57.0,53.0
4,CHP06001,麝香,1.0,33.0,33.0,20.0,20.0
5,CHP06015,水蛭,1.0,9.0,9.0,7.0,7.0
6,CHP05896,僵蚕,1.0,26.0,26.0,14.0,13.0
7,CHP05919,鹿角,1.0,2.0,2.0,1.0,1.0
8,CHP05922,鹿茸,1.0,7.0,7.0,5.0,5.0
9,CHP05962,牛黄,1.0,19.0,19.0,15.0,15.0
10,CHP05964,牛肾,1.0,6.0,6.0,2.0,2.0
11,CHP05877,鸡胆,1.0,2.0,2.0,2.0,2.0
12,CHP05831,龟甲,1.0,5.0,5.0,2.0,1.0
13,CHP05840,海马,1.0,3.0,3.0,3.0,3.0
14,CHP05841,海螵蛸,1.0,2.0,2.0,1.0,1.0
15,CHP05843,海燕,1.0,2.0,2.0,2.0,2.0
16,CHP00135,白前,1.0,78.0,78.0,48.0,48.0
17,CHP00137,白屈菜,1.0,58.0,58.0,46.0,45.0
18,CHP00140,白首乌,1.0,40.0,40.0,24.0,24.0
19,CHP00141,白薯莨,1.0,2.0,2.0,1.0,1.0
20,CHP00142,白术,1.0,118.0,118.0,67.0,64.0
21,CHP00146,白头翁,1.0,93.0,93.0,64.0,62.0
22,CHP00150,白薇,1.0,85.0,85.0,58.0,56.0
23,CHP00106,白蜡树皮,1.0,82.0,82.0,32.0,28.0
24,CHP00108,白兰花,1.0,63.0,63.0,17.0,17.0
25,CHP00114,白蔹,1.0,102.0,102.0,53.0,50.0
26,CHP00119,白马骨,1.0,11.0,11.0,7.0,7.0
27,CHP00121,白毛藤,1.0,121.0,121.0,78.0,78.0
28,CHP00124,白茅根,1.0,59.0,59.0,41.0,40.0
29,CHP00095,白花藤,1.0,3.0,3.0,1.0,1.0
30,CHP00099,白及,1.0,78.0,78.0,21.0,21.0
31,CHP00100,白胶香,1.0,20.0,20.0,9.0,8.0
32,CHP00102,白芥子,1.0,18.0,18.0,6.0,6.0
33,CHP00103,白金果榄,1.0,10.0,10.0,4.0,4.0
34,CHP00080,白果紫草,1.0,11.0,11.0,4.0,4.0
35,CHP00081,白蒿,1.0,9.0,9.0,4.0,4.0
36,CHP00088,白花菜子,1.0,94.0,94.0,47.0,45.0
37,CHP00090,白花丹,1.0,45.0,45.0,18.0,14.0
38,CHP00091,白花灯笼,1.0,9.0,9.0,4.0,4.0
39,CHP00093,白花蛇舌草,1.0,46.0,46.0,33.0,33.0
40,CHP00220,宝盖草,1.0,12.0,12.0,6.0,6.0
41,CHP00221,保山乌头,1.0,11.0,11.0,6.0,6.0
42,CHP00222,报春花,1.0,2.0,2.0,1.0,1.0
43,CHP00223,抱茎獐牙菜,1.0,8.0,8.0,4.0,4.0
44,CHP00225,暴马子皮,1.0,1.0,1.0,1.0,1.0
45,CHP00227,北豆,1.0,16.0,16.0,10.0,10.0
46,CHP00228,北豆根,1.0,72.0,72.0,40.0,39.0
47,CHP00229,北沙参,1.0,105.0,105.0,88.0,88.0
48,CHP00206,半边苏,1.0,35.0,35.0,14.0,12.0
49,CHP00208,半枫荷,1.0,3.0,3.0,2.0,2.0
50,CHP00209,半夏,1.0,155.0,155.0,90.0,84.0
51,CHP00212,半枝莲,1.0,113.0,113.0,56.0,56.0
52,CHP00213,榜嘎,1.0,5.0,5.0,3.0,3.0
53,CHP00216,薄荷,1.0,252.0,252.0,140.0,133.0
54,CHP00176,百蕊草,1.0,1.0,1.0,1.0,1.0
55,CHP00178,百眼藤,1.0,5.0,5.0,1.0,1.0
56,CHP00183,柏树叶,1.0,6.0,6.0,3.0,3.0
57,CHP00186,柏子仁,1.0,47.0,47.0,21.0,18.0
58,CHP00187,败酱草,1.0,70.0,70.0,30.0,29.0
59,CHP00189,斑草,1.0,15.0,15.0,9.0,7.0
60,CHP00191,斑鸠菊,1.0,22.0,22.0,13.0,13.0
61,CHP00201,半边莲,1.0,96.0,96.0,60.0,60.0
62,CHP00151,白鲜皮,1.0,117.0,117.0,72.0,72.0
63,CHP00156,白叶藤,1.0,2.0,2.0,1.0,1.0
64,CHP00162,白芷,1.0,307.0,307.0,123.0,117.0
65,CHP00165,白珠树,1.0,18.0,18.0,10.0,10.0
66,CHP00168,百部,1.0,181.0,181.0,124.0,123.0
67,CHP00170,百合,1.0,137.0,137.0,84.0,84.0
68,CHP00173,百里香,1.0,23.0,23.0,5.0,5.0
69,CHP00175,百脉根,1.0,15.0,15.0,5.0,5.0
70,CHP00281,菠菜,1.0,21.0,21.0,18.0,18.0
71,CHP00284,播娘蒿,1.0,14.0,14.0,8.0,8.0
72,CHP00288,补骨脂,1.0,181.0,181.0,102.0,102.0
73,CHP00292,布渣叶,1.0,20.0,20.0,11.0,11.0
74,CHP00293,菜豆树,1.0,11.0,11.0,5.0,5.0
75,CHP00256,鞭叶铁线蕨,1.0,12.0,12.0,8.0,8.0
76,CHP00258,扁豆,1.0,93.0,93.0,49.0,46.0
77,CHP00261,扁桃斑鸠菊,1.0,2.0,2.0,2.0,2.0
78,CHP00269,遍地金,1.0,4.0,4.0,2.0,1.0
79,CHP00272,滨海前胡,1.0,2.0,2.0,2.0,2.0
80,CHP00274,槟榔,1.0,172.0,172.0,76.0,72.0
81,CHP00244,蓖麻叶,1.0,4.0,4.0,3.0,3.0
82,CHP00245,蓖麻油,1.0,7.0,7.0,1.0,1.0
83,CHP00246,蓖麻子,1.0,37.0,37.0,22.0,21.0
84,CHP00247,薜荔,1.0,2.0,2.0,2.0,2.0
85,CHP00251,边缘鳞盖蕨,1.0,14.0,14.0,6.0,6.0
86,CHP00252,萹蓄,1.0,73.0,73.0,54.0,54.0
87,CHP00254,鞭打绣球,1.0,1.0,1.0,1.0,1.0
88,CHP00231,北玄参,1.0,15.0,15.0,9.0,9.0
89,CHP00235,贝母兰,1.0,6.0,6.0,1.0,1.0
90,CHP00238,荜茇,1.0,75.0,75.0,44.0,43.0
91,CHP00240,荜澄茄,1.0,62.0,62.0,38.0,38.0
92,CHP00241,萆薢,1.0,74.0,74.0,45.0,45.0
93,CHP05791,穿山甲,1.0,3.0,3.0,2.0,2.0
94,CHP05800,鹅臎,1.0,1.0,1.0,1.0,1.0
95,CHP05805,蜂胶,1.0,83.0,83.0,33.0,33.0
96,CHP05754,斑蝥,1.0,18.0,18.0,7.0,6.0
97,CHP05778,蝉蜕,1.0,8.0,8.0,6.0,6.0
98,CHP05779,蟾蜍,1.0,11.0,11.0,6.0,6.0
99,CHP05780,蟾皮,1.0,4.0,4.0,2.0,2.0
100,CHP05782,蟾酥,1.0,71.0,71.0,45.0,45.0
101,CHP05689,紫葳茎叶,1.0,6.0,6.0,4.0,4.0
102,CHP05690,紫薇,1.0,12.0,12.0,4.0,3.0
103,CHP05704,紫玉盘,1.0,21.0,21.0,10.0,10.0
104,CHP05729,总状绿绒蒿,1.0,1.0,1.0,1.0,1.0
105,CHP05730,总状升麻,1.0,11.0,11.0,8.0,8.0
106,CHP05675,紫杉,1.0,102.0,102.0,48.0,48.0
107,CHP05676,紫苏,1.0,38.0,38.0,21.0,18.0
108,CHP05679,紫苏叶,1.0,12.0,12.0,8.0,8.0
109,CHP05680,紫苏子,1.0,22.0,22.0,5.0,3.0
110,CHP05682,紫檀,1.0,36.0,36.0,8.0,7.0
111,CHP05687,紫菀,1.0,28.0,28.0,16.0,16.0
112,CHP00333,茶叶,1.0,125.0,125.0,58.0,57.0
113,CHP00336,茶子,1.0,13.0,13.0,7.0,6.0
114,CHP00341,柴胡,1.0,299.0,299.0,206.0,199.0
115,CHP00347,常春藤,1.0,11.0,11.0,7.0,7.0
116,CHP00349,常春卫矛,1.0,6.0,6.0,5.0,5.0
117,CHP00350,常山,1.0,67.0,67.0,30.0,30.0
118,CHP00351,朝鲜白头翁,1.0,3.0,3.0,1.0,1.0
119,CHP00355,车前草,1.0,197.0,197.0,103.0,100.0
120,CHP00321,草问荆,1.0,4.0,4.0,2.0,2.0
121,CHP00322,草乌,1.0,79.0,79.0,50.0,50.0
122,CHP00323,草乌叶,1.0,13.0,13.0,8.0,8.0
123,CHP00326,侧柏叶,1.0,90.0,90.0,47.0,44.0
124,CHP00327,侧柏枝节,1.0,42.0,42.0,24.0,24.0
125,CHP00331,茶树根,1.0,5.0,5.0,2.0,2.0
126,CHP00332,茶条槭,1.0,2.0,2.0,1.0,1.0
127,CHP00309,糙苏,1.0,11.0,11.0,8.0,8.0
128,CHP00312,草本威灵仙,1.0,11.0,11.0,3.0,3.0
129,CHP00313,草苁蓉,1.0,36.0,36.0,20.0,20.0
130,CHP00314,草地黄芩,1.0,7.0,7.0,2.0,2.0
131,CHP00315,草豆蔻,1.0,37.0,37.0,14.0,12.0
132,CHP00316,草果,1.0,29.0,29.0,16.0,16.0
133,CHP00319,草莓,1.0,2.0,2.0,1.0,1.0
134,CHP00294,菜蓟,1.0,4.0,4.0,4.0,4.0
135,CHP00296,蚕豆,1.0,19.0,19.0,7.0,7.0
136,CHP00298,苍耳,1.0,17.0,17.0,10.0,10.0
137,CHP00300,苍耳子,1.0,71.0,71.0,41.0,39.0
138,CHP00303,苍术,1.0,111.0,111.0,61.0,61.0
139,CHP00305,藏边大黄,1.0,28.0,28.0,11.0,11.0
140,CHP00306,藏红花,1.0,134.0,134.0,79.0,78.0
141,CHP00408,楮树根,1.0,46.0,46.0,13.0,13.0
142,CHP00412,川贝母,1.0,228.0,228.0,134.0,132.0
143,CHP00414,川鄂淫羊藿,1.0,11.0,11.0,5.0,4.0
144,CHP00415,川木通,1.0,96.0,96.0,46.0,45.0
145,CHP00416,川木香,1.0,29.0,29.0,14.0,14.0
146,CHP00417,川乌,1.0,268.0,268.0,153.0,150.0
147,CHP00418,川西獐牙菜,1.0,2.0,2.0,1.0,1.0
148,CHP00389,臭柏,1.0,4.0,4.0,2.0,2.0
149,CHP00393,臭茉莉,1.0,2.0,2.0,1.0,1.0
150,CHP00394,臭牡丹,1.0,4.0,4.0,3.0,3.0
151,CHP00396,臭山羊,1.0,17.0,17.0,6.0,6.0
152,CHP00397,臭梧桐,1.0,18.0,18.0,13.0,13.0
153,CHP00401,樗叶花椒,1.0,7.0,7.0,3.0,3.0
154,CHP00403,除虫菊,1.0,16.0,16.0,5.0,5.0
155,CHP00406,楮实子,1.0,45.0,45.0,25.0,24.0
156,CHP00371,秤钩风,1.0,10.0,10.0,5.0,5.0
157,CHP00373,齿叶草,1.0,3.0,3.0,1.0,1.0
158,CHP00374,齿叶橐吾,1.0,2.0,2.0,1.0,1.0
159,CHP00376,赤瓟,1.0,8.0,8.0,5.0,5.0
160,CHP00381,赤麻,1.0,3.0,3.0,2.0,2.0
161,CHP00384,赤小豆,1.0,52.0,52.0,35.0,35.0
162,CHP00386,赤杨,1.0,31.0,31.0,17.0,16.0
163,CHP00356,车前子,1.0,42.0,42.0,35.0,35.0
164,CHP00359,车桑仔叶,1.0,5.0,5.0,3.0,3.0
165,CHP00360,沉香,1.0,259.0,259.0,137.0,136.0
166,CHP00361,陈皮,1.0,103.0,103.0,37.0,34.0
167,CHP00362,柽柳,1.0,53.0,53.0,21.0,20.0
168,CHP00364,澄茄子,1.0,4.0,4.0,1.0,1.0
169,CHP00480,大驳骨,1.0,13.0,13.0,5.0,5.0
170,CHP00482,大巢菜,1.0,5.0,5.0,3.0,3.0
171,CHP00483,大车前,1.0,21.0,21.0,11.0,11.0
172,CHP00485,大丁草,1.0,28.0,28.0,9.0,9.0
173,CHP00486,大豆,1.0,12.0,12.0,7.0,7.0
174,CHP00496,大风子,1.0,28.0,28.0,14.0,13.0
175,CHP00500,大果大戟,1.0,16.0,16.0,10.0,10.0
176,CHP00508,大花糙苏,1.0,2.0,2.0,1.0,1.0
177,CHP00457,葱,1.0,25.0,25.0,10.0,9.0
178,CHP00458,葱白,1.0,70.0,70.0,13.0,12.0
179,CHP00463,楤木,1.0,4.0,4.0,4.0,4.0
180,CHP00466,粗榧子,1.0,8.0,8.0,4.0,4.0
181,CHP00467,粗叶悬钩子,1.0,21.0,21.0,9.0,8.0
182,CHP00469,催吐萝芙木,1.0,19.0,19.0,9.0,9.0
183,CHP00470,翠雀花,1.0,52.0,52.0,30.0,30.0
184,CHP00472,打碗花,1.0,3.0,3.0,2.0,2.0
185,CHP00441,刺柏,1.0,37.0,37.0,17.0,16.0
186,CHP00443,刺果甘草,1.0,22.0,22.0,11.0,11.0
187,CHP00444,刺果苏木,1.0,36.0,36.0,24.0,24.0
188,CHP00445,刺槐花,1.0,14.0,14.0,7.0,7.0
189,CHP00448,刺梨,1.0,5.0,5.0,3.0,3.0
190,CHP00454,刺楸树皮,1.0,11.0,11.0,7.0,7.0
191,CHP00455,刺桐,1.0,104.0,104.0,41.0,41.0
192,CHP00456,刺五加,1.0,53.0,53.0,39.0,38.0
193,CHP00419,川芎,1.0,127.0,127.0,71.0,69.0
194,CHP00421,穿龙薯蓣,1.0,37.0,37.0,17.0,17.0
195,CHP00422,穿心莲,1.0,100.0,100.0,58.0,57.0
196,CHP00424,垂盆草,1.0,67.0,67.0,36.0,36.0
197,CHP00428,春福寿草,1.0,3.0,3.0,3.0,3.0
198,CHP00430,椿白皮,1.0,1.0,1.0,1.0,1.0
199,CHP00431,椿皮,1.0,95.0,95.0,56.0,55.0
200,CHP00433,莼菜,1.0,3.0,3.0,1.0,1.0
201,CHP00630,淡豆豉,1.0,23.0,23.0,18.0,18.0
202,CHP00635,淡竹叶,1.0,1.0,1.0,1.0,1.0
203,CHP00638,当归,1.0,171.0,171.0,84.0,82.0
204,CHP00641,党参,1.0,65.0,65.0,50.0,50.0
205,CHP00642,刀豆,1.0,25.0,25.0,21.0,21.0
206,CHP00649,倒吊笔,1.0,2.0,2.0,2.0,2.0
207,CHP00604,大叶紫珠,1.0,9.0,9.0,5.0,5.0
208,CHP00608,大枣,1.0,164.0,164.0,108.0,103.0
209,CHP00612,代代花,1.0,96.0,96.0,48.0,45.0
210,CHP00617,丹参,1.0,235.0,235.0,183.0,176.0
211,CHP00628,胆木,1.0,13.0,13.0,5.0,5.0
212,CHP00560,大头橐吾,1.0,6.0,6.0,3.0,3.0
213,CHP00571,大叶桉叶,1.0,7.0,7.0,2.0,2.0
214,CHP00573,大叶柴胡,1.0,9.0,9.0,5.0,5.0
215,CHP00576,大叶骨碎补,1.0,4.0,4.0,3.0,3.0
216,CHP00583,大叶蒟,1.0,2.0,2.0,2.0,2.0
217,CHP00595,大叶糖胶树,1.0,45.0,45.0,29.0,27.0
218,CHP00597,大叶仙茅,1.0,24.0,24.0,13.0,12.0
219,CHP00513,大黄,1.0,205.0,205.0,127.0,126.0
220,CHP00514,大黄花,1.0,9.0,9.0,6.0,6.0
221,CHP00519,大戟,1.0,107.0,107.0,58.0,58.0
222,CHP00520,大蓟,1.0,69.0,69.0,38.0,37.0
223,CHP00533,大麻叶泽兰,1.0,8.0,8.0,4.0,4.0
224,CHP00541,大青,1.0,2.0,2.0,1.0,1.0
225,CHP00543,板蓝根,1.0,193.0,193.0,124.0,118.0
226,CHP00557,大蒜,1.0,80.0,80.0,38.0,38.0
227,CHP05635,紫花地丁,1.0,4.0,4.0,1.0,1.0
228,CHP05638,紫花景天,1.0,3.0,3.0,1.0,1.0
229,CHP05646,紫金牛,1.0,122.0,122.0,68.0,65.0
230,CHP05647,紫金牛根,1.0,7.0,7.0,3.0,2.0
231,CHP05662,紫茉莉,1.0,8.0,8.0,5.0,4.0
232,CHP05663,紫茉莉根,1.0,3.0,3.0,2.0,2.0
233,CHP05670,紫萁,1.0,2.0,2.0,2.0,2.0
234,CHP05592,苎麻根,1.0,1.0,1.0,1.0,1.0
235,CHP05612,梓木,1.0,7.0,7.0,1.0,1.0
236,CHP05615,梓叶,1.0,21.0,21.0,13.0,13.0
237,CHP05634,紫红獐牙菜,1.0,8.0,8.0,3.0,3.0
238,CHP05553,猪屎豆,1.0,3.0,3.0,2.0,1.0
239,CHP05557,猪鬃草,1.0,17.0,17.0,11.0,11.0
240,CHP05563,竹柏根,1.0,4.0,4.0,2.0,2.0
241,CHP05565,竹节参,1.0,12.0,12.0,9.0,9.0
242,CHP05581,竹叶柴胡,1.0,2.0,2.0,1.0,1.0
243,CHP05582,竹叶椒,1.0,10.0,10.0,3.0,3.0
244,CHP05501,枳实,1.0,6.0,6.0,5.0,3.0
245,CHP05512,肿柄菊,1.0,13.0,13.0,9.0,9.0
246,CHP05515,重楼,1.0,31.0,31.0,16.0,16.0
247,CHP05541,珠子参,1.0,5.0,5.0,2.0,2.0
248,CHP05542,珠子草,1.0,13.0,13.0,7.0,7.0
249,CHP05548,猪毛蒿,1.0,3.0,3.0,1.0,1.0
250,CHP00746,滇茜草,1.0,31.0,31.0,29.0,29.0
251,CHP00756,颠茄,1.0,11.0,11.0,6.0,6.0
252,CHP00762,吊干麻,1.0,22.0,22.0,9.0,9.0
253,CHP00767,钓樟根皮,1.0,8.0,8.0,2.0,2.0
254,CHP00770,调经草,1.0,5.0,5.0,3.0,3.0
255,CHP00772,跌打老,1.0,16.0,16.0,12.0,11.0
256,CHP00720,地榆,1.0,95.0,95.0,80.0,80.0
257,CHP00722,灯笼草,1.0,10.0,10.0,6.0,6.0
258,CHP00724,灯笼泡,1.0,5.0,5.0,2.0,2.0
259,CHP00726,灯心草,1.0,37.0,37.0,16.0,15.0
260,CHP00728,灯油藤子,1.0,7.0,7.0,4.0,4.0
261,CHP00729,灯盏细辛,1.0,17.0,17.0,14.0,14.0
262,CHP00731,棣棠花,1.0,12.0,12.0,6.0,6.0
263,CHP00742,滇黄芩,1.0,10.0,10.0,5.0,5.0
264,CHP00676,地肤子,1.0,10.0,10.0,7.0,7.0
265,CHP00678,地骨皮,1.0,34.0,34.0,20.0,20.0
266,CHP00683,地瓜子,1.0,25.0,25.0,12.0,11.0
267,CHP00689,地黄,1.0,285.0,285.0,192.0,192.0
268,CHP00693,地锦,1.0,6.0,6.0,3.0,3.0
269,CHP00694,地锦草,1.0,38.0,38.0,25.0,25.0
270,CHP00708,地刷子,1.0,15.0,15.0,9.0,9.0
271,CHP00710,地梭罗,1.0,35.0,35.0,11.0,11.0
272,CHP00660,稻草,1.0,27.0,27.0,17.0,16.0
273,CHP00662,稻芽,1.0,2.0,2.0,2.0,2.0
274,CHP00667,地柏枝,1.0,1.0,1.0,1.0,1.0
275,CHP00668,地不容,1.0,25.0,25.0,11.0,11.0
276,CHP00670,地胆草,1.0,10.0,10.0,6.0,6.0
277,CHP00672,地耳草,1.0,98.0,98.0,44.0,39.0
278,CHP00673,地枫皮,1.0,56.0,56.0,34.0,34.0
279,CHP00859,独角莲,1.0,8.0,8.0,5.0,3.0
280,CHP00872,独一味,1.0,26.0,26.0,17.0,16.0
281,CHP00875,杜茎山,1.0,25.0,25.0,15.0,10.0
282,CHP00876,杜鹃花,1.0,11.0,11.0,4.0,4.0
283,CHP00879,杜鹃花叶,1.0,2.0,2.0,1.0,1.0
284,CHP00882,杜松,1.0,17.0,17.0,10.0,10.0
285,CHP00883,杜松实,1.0,7.0,7.0,1.0,1.0
286,CHP00819,冬葵果,1.0,80.0,80.0,43.0,41.0
287,CHP00824,冬凌草,1.0,50.0,50.0,45.0,45.0
288,CHP00828,冬珊瑚,1.0,5.0,5.0,2.0,1.0
289,CHP00844,豆蔻,1.0,66.0,66.0,36.0,30.0
290,CHP00849,豆油,1.0,10.0,10.0,6.0,5.0
291,CHP00853,毒芹根,1.0,10.0,10.0,4.0,4.0
292,CHP00854,毒蛆草,1.0,3.0,3.0,1.0,1.0
293,CHP00857,独活,1.0,108.0,108.0,55.0,54.0
294,CHP00801,东当归,1.0,2.0,2.0,1.0,1.0
295,CHP00802,东方狗脊,1.0,12.0,12.0,7.0,7.0
296,CHP00803,东方荚果蕨,1.0,9.0,9.0,5.0,5.0
297,CHP00806,东风橘根,1.0,27.0,27.0,5.0,5.0
298,CHP00812,冬瓜皮,1.0,174.0,174.0,84.0,84.0
299,CHP00816,冬瓜子,1.0,39.0,39.0,20.0,20.0
300,CHP00775,丁公藤,1.0,60.0,60.0,37.0,37.0
301,CHP00778,丁茄,1.0,9.0,9.0,1.0,1.0
302,CHP00779,丁香,1.0,137.0,137.0,61.0,59.0
303,CHP00791,定木香,1.0,22.0,22.0,16.0,16.0
304,CHP00793,东北刺人参,1.0,16.0,16.0,1.0,1.0
305,CHP00795,东北蛔蒿,1.0,3.0,3.0,3.0,3.0
306,CHP00797,东北雷公藤,1.0,38.0,38.0,25.0,25.0
307,CHP00799,东北延胡索,1.0,4.0,4.0,2.0,2.0
308,CHP00984,番荔枝,1.0,285.0,285.0,149.0,146.0
309,CHP00987,番木瓜,1.0,24.0,24.0,16.0,16.0
310,CHP00988,番木瓜叶,1.0,1.0,1.0,1.0,1.0
311,CHP00989,番茄,1.0,53.0,53.0,31.0,30.0
312,CHP00990,番石榴,1.0,12.0,12.0,2.0,2.0
313,CHP00993,番石榴皮,1.0,2.0,2.0,2.0,2.0
314,CHP00994,番石榴叶,1.0,3.0,3.0,3.0,3.0
315,CHP00957,鹅不食草,1.0,49.0,49.0,38.0,38.0
316,CHP00963,鹅绒藤,1.0,6.0,6.0,2.0,2.0
317,CHP00965,鹅掌楸,1.0,12.0,12.0,10.0,10.0
318,CHP00969,鄂报春,1.0,3.0,3.0,1.0,1.0
319,CHP00970,鄂北贝母,1.0,8.0,8.0,6.0,6.0
320,CHP00972,儿茶,1.0,41.0,41.0,27.0,27.0
321,CHP00973,儿茶钩藤,1.0,10.0,10.0,7.0,6.0
322,CHP00974,耳草,1.0,11.0,11.0,5.0,5.0
323,CHP00928,多花蒿,1.0,10.0,10.0,10.0,10.0
324,CHP00936,多裂委陵菜,1.0,3.0,3.0,2.0,2.0
325,CHP00940,多穗蓼,1.0,6.0,6.0,2.0,2.0
326,CHP00945,多穗石柯叶,1.0,8.0,8.0,5.0,5.0
327,CHP00947,多足蕨,1.0,9.0,9.0,8.0,8.0
328,CHP00948,莪术,1.0,226.0,226.0,137.0,127.0
329,CHP00949,峨参,1.0,16.0,16.0,8.0,8.0
330,CHP00884,杜仲,1.0,85.0,85.0,64.0,62.0
331,CHP00885,杜仲叶,1.0,73.0,73.0,53.0,52.0
332,CHP00887,短瓣花,1.0,14.0,14.0,8.0,8.0
333,CHP00902,断节参,1.0,3.0,3.0,2.0,2.0
334,CHP00906,堆心菊,1.0,25.0,25.0,12.0,12.0
335,CHP00923,盾叶薯蓣,1.0,11.0,11.0,5.0,5.0
336,CHP01065,凤尾草,1.0,56.0,56.0,30.0,30.0
337,CHP01073,凤仙透骨草,1.0,46.0,46.0,28.0,27.0
338,CHP01076,凤眼草,1.0,8.0,8.0,8.0,8.0
339,CHP01083,扶桑花,1.0,3.0,3.0,1.0,1.0
340,CHP01089,佛甲草,1.0,8.0,8.0,4.0,4.0
341,CHP01040,粪箕笃,1.0,4.0,4.0,2.0,2.0
342,CHP01042,风轮菜,1.0,40.0,40.0,23.0,23.0
343,CHP01043,风毛菊,1.0,8.0,8.0,3.0,3.0
344,CHP01045,风藤,1.0,89.0,89.0,61.0,60.0
345,CHP01050,风箱树叶,1.0,1.0,1.0,1.0,1.0
346,CHP01054,枫香寄生,1.0,3.0,3.0,3.0,3.0
347,CHP01058,蜂斗菜,1.0,94.0,94.0,46.0,43.0
348,CHP01015,飞廉,1.0,11.0,11.0,4.0,4.0
349,CHP01016,飞龙掌血,1.0,11.0,11.0,2.0,2.0
350,CHP01019,飞燕草,1.0,17.0,17.0,10.0,10.0
351,CHP01029,肺形草,1.0,5.0,5.0,4.0,4.0
352,CHP01035,粉葛,1.0,5.0,5.0,2.0,2.0
353,CHP00997,番泻叶,1.0,22.0,22.0,11.0,10.0
354,CHP00998,翻白草,1.0,15.0,15.0,9.0,8.0
355,CHP01002,繁缕,1.0,9.0,9.0,4.0,4.0
356,CHP01007,防风,1.0,38.0,38.0,30.0,28.0
357,CHP01008,防风草,1.0,4.0,4.0,3.0,3.0
358,CHP01011,防己,1.0,41.0,41.0,31.0,29.0
359,CHP01167,高山黄华,1.0,6.0,6.0,3.0,3.0
360,CHP01168,高山火绒草,1.0,17.0,17.0,10.0,10.0
361,CHP01170,高山辣根菜,1.0,1.0,1.0,1.0,1.0
362,CHP01171,高山龙胆,1.0,11.0,11.0,4.0,3.0
363,CHP01176,高乌头,1.0,5.0,5.0,2.0,2.0
364,CHP01180,藁本,1.0,37.0,37.0,21.0,20.0
365,CHP01181,戈壁天门冬,1.0,10.0,10.0,6.0,6.0
366,CHP01138,橄榄,1.0,25.0,25.0,13.0,13.0
367,CHP01143,干地黄,1.0,21.0,21.0,2.0,2.0
368,CHP01144,干冬菜,1.0,2.0,2.0,1.0,1.0
369,CHP01146,干姜,1.0,106.0,106.0,68.0,64.0
370,CHP01159,杠香藤,1.0,3.0,3.0,2.0,2.0
371,CHP01161,高良姜,1.0,51.0,51.0,17.0,17.0
372,CHP01163,高粱,1.0,6.0,6.0,4.0,4.0
373,CHP01122,甘葛藤根,1.0,3.0,3.0,1.0,1.0
374,CHP01123,甘菊,1.0,2.0,2.0,2.0,2.0
375,CHP01125,甘青铁线莲,1.0,6.0,6.0,3.0,3.0
376,CHP01126,甘薯,1.0,8.0,8.0,6.0,6.0
377,CHP01127,甘松,1.0,50.0,50.0,38.0,38.0
378,CHP01130,甘遂,1.0,63.0,63.0,51.0,51.0
379,CHP01131,甘西鼠尾草,1.0,20.0,20.0,10.0,10.0
380,CHP01132,肝风草,1.0,18.0,18.0,12.0,12.0
381,CHP01091,佛手,1.0,51.0,51.0,30.0,26.0
382,CHP01096,浮萍,1.0,38.0,38.0,27.0,26.0
383,CHP01099,浮叶眼子菜,1.0,13.0,13.0,7.0,7.0
384,CHP01104,福寿草,1.0,20.0,20.0,1.0,1.0
385,CHP01110,附子,1.0,81.0,81.0,70.0,69.0
386,CHP01114,覆盆子,1.0,52.0,52.0,25.0,25.0
387,CHP01118,甘草,1.0,341.0,341.0,177.0,175.0
388,CHP01257,关苍术,1.0,4.0,4.0,2.0,2.0
389,CHP01260,关黄柏,1.0,70.0,70.0,46.0,46.0
390,CHP01261,关木通,1.0,12.0,12.0,6.0,6.0
391,CHP01269,管花肉苁蓉,1.0,10.0,10.0,5.0,5.0
392,CHP01272,贯叶连翘,1.0,32.0,32.0,20.0,17.0
393,CHP01273,贯众,1.0,37.0,37.0,20.0,14.0
394,CHP01288,光叶巴豆,1.0,24.0,24.0,12.0,12.0
395,CHP01236,枸杞子,1.0,137.0,137.0,93.0,90.0
396,CHP01241,古柯,1.0,12.0,12.0,8.0,8.0
397,CHP01242,谷精草,1.0,20.0,20.0,14.0,14.0
398,CHP01244,骨节草,1.0,6.0,6.0,5.0,3.0
399,CHP01245,骨碎补,1.0,37.0,37.0,35.0,35.0
400,CHP01246,瓜蒌,1.0,90.0,90.0,68.0,65.0
401,CHP01256,关白附,1.0,16.0,16.0,9.0,9.0
402,CHP01222,狗牙花,1.0,45.0,45.0,30.0,30.0
403,CHP01226,枸骨根,1.0,1.0,1.0,1.0,1.0
404,CHP01228,枸骨叶,1.0,44.0,44.0,34.0,34.0
405,CHP01230,枸橘,1.0,12.0,12.0,4.0,4.0
406,CHP01235,枸杞叶,1.0,14.0,14.0,9.0,8.0
407,CHP01183,茖葱,1.0,6.0,6.0,2.0,2.0
408,CHP01185,葛根,1.0,43.0,43.0,27.0,27.0
409,CHP01187,葛花,1.0,63.0,63.0,43.0,41.0
410,CHP01206,钩藤,1.0,174.0,174.0,98.0,94.0
411,CHP01207,钩吻,1.0,77.0,77.0,38.0,36.0
